Marca,Modelo,Estado,Tienda,Año,Precio,Almacenamiento (GB)
HP,All-in-One,Nuevo,TechStore,2020,850,1280
Acer,Laptop,Nuevo,ComputoMx,2016,4000,1920
Apple,Gaming,Nuevo,GadgetPlus,2013,3300,768
Samsung,Desktop,Certificado,PCWorld,2016,1150,1536
Samsung,Desktop,Certificado,GadgetPlus,2010,800,128
Toshiba,Laptop,Nuevo,GadgetPlus,2011,2700,768
Acer,Desktop,Usado,ElectroShop,2011,3100,1280
Apple,Laptop,Usado,ElectroShop,2004,3600,896
Apple,Laptop,Nuevo,ComputoMx,2007,4450,1664
Asus,Workstation,Certificado,ElectroShop,2001,3850,1536
Samsung,Gaming,Nuevo,PCWorld,2001,500,1664
Asus,Workstation,Certificado,PCWorld,2015,3200,1536
HP,Desktop,Usado,ElectroShop,2023,1750,1024
HP,Desktop,Certificado,TechStore,2005,3700,1408
Asus,Gaming,Certificado,ElectroShop,2017,3250,1536
MSI,Gaming,Nuevo,TechStore,2014,2600,512
Toshiba,Convertible,Usado,PCWorld,2004,4100,512
Lenovo,Desktop,Certificado,PCWorld,2007,1200,1408
Apple,Workstation,Certificado,ComputoMx,2023,4200,1792
Sony,Gaming,Nuevo,ComputoMx,2000,2000,1920
HP,Gaming,Nuevo,ComputoMx,2020,550,1664
Asus,Gaming,Usado,ElectroShop,2024,4000,768
Acer,Gaming,Certificado,GadgetPlus,2008,350,512
Samsung,Workstation,Nuevo,TechStore,2009,2850,512
Toshiba,Gaming,Usado,PCWorld,2019,4800,768
MSI,Desktop,Nuevo,TechStore,2005,2800,1280
Sony,Workstation,Nuevo,GadgetPlus,2008,3100,768
Apple,Workstation,Certificado,ElectroShop,2005,4850,896
Acer,Laptop,Usado,PCWorld,2001,2950,1536
Acer,Convertible,Certificado,ElectroShop,2014,3450,1664
Toshiba,Workstation,Usado,GadgetPlus,2020,4050,640
Lenovo,Convertible,Usado,ComputoMx,2017,2150,640
Samsung,All-in-One,Usado,GadgetPlus,2017,1650,512
HP,Workstation,Usado,ComputoMx,2009,2000,896
Apple,Gaming,Certificado,ComputoMx,2019,2350,768
Dell,Convertible,Nuevo,GadgetPlus,2012,1000,256
HP,Gaming,Usado,TechStore,2014,4450,1280
HP,Laptop,Nuevo,GadgetPlus,2016,2300,384
Asus,Desktop,Certificado,PCWorld,2015,3950,1280
Samsung,Desktop,Nuevo,ElectroShop,2003,4600,1536
Dell,Laptop,Nuevo,ComputoMx,2008,1650,384
Acer,Desktop,Usado,ElectroShop,2018,2050,1536
Dell,Workstation,Certificado,TechStore,2005,3400,1792
Dell,Laptop,Certificado,GadgetPlus,2018,4300,1152
Acer,Workstation,Nuevo,ComputoMx,2010,3300,768
HP,Workstation,Usado,ElectroShop,2013,1050,384
Toshiba,All-in-One,Certificado,ComputoMx,2018,1600,512
HP,Convertible,Certificado,GadgetPlus,2016,550,384
Lenovo,Gaming,Certificado,GadgetPlus,2010,3300,256
Sony,Desktop,Usado,GadgetPlus,2024,1350,1408
Apple,Gaming,Nuevo,PCWorld,2001,1200,1152
Dell,Laptop,Nuevo,ElectroShop,2011,4300,1024
Lenovo,All-in-One,Certificado,ElectroShop,2004,2200,640
MSI,All-in-One,Nuevo,PCWorld,2003,3600,1280
Asus,Laptop,Nuevo,ComputoMx,2012,1250,1152
Lenovo,All-in-One,Usado,PCWorld,2022,1350,896
Lenovo,Desktop,Nuevo,GadgetPlus,2003,1800,1536
HP,Convertible,Usado,GadgetPlus,2002,1500,1024
HP,Convertible,Certificado,TechStore,2008,3900,1664
Samsung,Convertible,Nuevo,GadgetPlus,2020,1950,640
Apple,Workstation,Usado,ElectroShop,2000,4850,1664
Lenovo,All-in-One,Nuevo,TechStore,2015,3550,1792
Lenovo,All-in-One,Usado,TechStore,2000,2600,1280
HP,Laptop,Certificado,ComputoMx,2002,3150,1152
Asus,Desktop,Certificado,ComputoMx,2016,3150,256
HP,Laptop,Certificado,ElectroShop,2006,2650,512
Dell,Convertible,Certificado,PCWorld,2012,2100,1792
Acer,All-in-One,Usado,TechStore,2021,2400,1024
MSI,All-in-One,Certificado,ElectroShop,2000,350,1664
Asus,Workstation,Nuevo,ComputoMx,2017,2400,1536
HP,Desktop,Certificado,ElectroShop,2012,1550,896
HP,Workstation,Usado,PCWorld,2001,1950,1792
Acer,Convertible,Nuevo,PCWorld,2005,2550,1536
Dell,All-in-One,Certificado,ComputoMx,2018,4600,1408
Apple,All-in-One,Certificado,PCWorld,2013,2300,128
MSI,Desktop,Usado,GadgetPlus,2006,3900,1920
Toshiba,Workstation,Nuevo,ComputoMx,2003,4650,640
Toshiba,Workstation,Nuevo,ElectroShop,2017,4950,1152
Asus,All-in-One,Nuevo,ComputoMx,2005,2500,1280
Acer,Gaming,Usado,TechStore,2012,750,1024
MSI,All-in-One,Usado,TechStore,2024,2500,1792
MSI,Laptop,Usado,ComputoMx,2007,2000,1408
Dell,Convertible,Usado,PCWorld,2012,2550,1536
Acer,All-in-One,Nuevo,GadgetPlus,2003,3200,768
Samsung,Gaming,Certificado,GadgetPlus,2014,1300,1280
Acer,Workstation,Nuevo,GadgetPlus,2017,3050,1024
HP,All-in-One,Usado,ComputoMx,2022,4900,384
Sony,Gaming,Certificado,GadgetPlus,2019,3350,512
Sony,All-in-One,Certificado,TechStore,2003,650,256
Acer,Laptop,Certificado,ElectroShop,2024,3400,1280
HP,Desktop,Nuevo,TechStore,2015,350,896
Dell,Workstation,Nuevo,TechStore,2013,3450,384
Asus,Desktop,Certificado,ElectroShop,2020,2500,1280
Apple,Convertible,Certificado,PCWorld,2000,3300,768
Toshiba,Convertible,Usado,TechStore,2016,4700,768
Acer,Convertible,Nuevo,ComputoMx,2020,850,768
Toshiba,Convertible,Usado,GadgetPlus,2017,1400,1408
Asus,Convertible,Certificado,ComputoMx,2017,1850,256
Toshiba,Desktop,Certificado,GadgetPlus,2000,3050,512
Lenovo,All-in-One,Nuevo,TechStore,2016,250,896
Samsung,Convertible,Usado,ComputoMx,2013,4500,1024
MSI,Laptop,Usado,PCWorld,2016,4300,128
Acer,Gaming,Nuevo,ElectroShop,2008,3000,1280
Lenovo,Workstation,Nuevo,PCWorld,2003,3950,1664
Asus,Convertible,Certificado,ElectroShop,2002,3450,1280
Samsung,Desktop,Certificado,TechStore,2003,4850,768
Acer,Laptop,Certificado,PCWorld,2018,2200,1408
Toshiba,Gaming,Certificado,ComputoMx,2004,1450,1536
Apple,Convertible,Certificado,PCWorld,2012,4750,1024
Apple,Desktop,Usado,TechStore,2016,4950,1664
Toshiba,Gaming,Nuevo,TechStore,2010,2400,896
Toshiba,Gaming,Usado,ComputoMx,2010,4900,1024
Dell,All-in-One,Usado,PCWorld,2018,2350,1280
Apple,Desktop,Usado,ComputoMx,2003,3700,1408
HP,Gaming,Nuevo,GadgetPlus,2005,3850,640
Sony,Workstation,Usado,TechStore,2018,1950,1792
Sony,Laptop,Nuevo,PCWorld,2000,1300,640
Samsung,Workstation,Usado,ComputoMx,2007,1750,1408
Asus,Desktop,Certificado,PCWorld,2012,600,1792
Samsung,Gaming,Nuevo,ElectroShop,2021,3250,1792
Dell,Laptop,Nuevo,GadgetPlus,2020,3150,1280
Toshiba,Laptop,Usado,PCWorld,2003,2700,1792
Acer,All-in-One,Nuevo,GadgetPlus,2021,2850,1664
Toshiba,Desktop,Certificado,TechStore,2018,3350,1664
HP,Convertible,Nuevo,TechStore,2014,1050,1152
Dell,Convertible,Certificado,TechStore,2018,3400,896
Dell,Convertible,Nuevo,ElectroShop,2017,2050,1920
MSI,Workstation,Certificado,ElectroShop,2004,4150,896
Asus,Desktop,Nuevo,PCWorld,2003,1500,1536
MSI,All-in-One,Certificado,PCWorld,2021,2650,768
Dell,Laptop,Certificado,TechStore,2007,3850,1024
Acer,Convertible,Nuevo,TechStore,2018,1200,1408
Samsung,All-in-One,Nuevo,ComputoMx,2004,3200,640
Dell,All-in-One,Certificado,PCWorld,2005,3900,1920
Sony,Workstation,Nuevo,ComputoMx,2017,700,896
Dell,Workstation,Usado,PCWorld,2010,1600,384
Asus,Workstation,Usado,PCWorld,2022,250,1280
Toshiba,Workstation,Certificado,TechStore,2013,750,640
Dell,Workstation,Certificado,ElectroShop,2008,1900,1024
Apple,Laptop,Certificado,ComputoMx,2015,3100,896
Lenovo,Gaming,Certificado,ElectroShop,2018,3250,1792
Samsung,Gaming,Usado,ElectroShop,2011,2700,1280
Lenovo,Laptop,Nuevo,TechStore,2004,3550,384
MSI,All-in-One,Certificado,TechStore,2008,2300,1920
Acer,Workstation,Nuevo,ElectroShop,2004,1100,1024
Apple,Desktop,Certificado,ElectroShop,2013,3800,1024
Lenovo,All-in-One,Nuevo,PCWorld,2006,1550,1920
Toshiba,All-in-One,Usado,ElectroShop,2016,3100,1920
Toshiba,Convertible,Nuevo,GadgetPlus,2022,4950,1408
Apple,Workstation,Certificado,ElectroShop,2020,3050,512
Sony,Desktop,Certificado,ElectroShop,2013,4350,1408
Toshiba,Desktop,Certificado,PCWorld,2022,1500,384
Toshiba,All-in-One,Usado,ComputoMx,2012,4300,1664
Apple,All-in-One,Certificado,TechStore,2002,650,512
Acer,All-in-One,Usado,ElectroShop,2007,2250,128
Apple,Gaming,Usado,GadgetPlus,2004,700,1664
MSI,All-in-One,Usado,TechStore,2002,2900,1024
Apple,Desktop,Nuevo,ElectroShop,2000,3300,512
Toshiba,All-in-One,Nuevo,GadgetPlus,2019,200,512
Toshiba,All-in-One,Nuevo,GadgetPlus,2017,3900,640
MSI,Gaming,Usado,ElectroShop,2001,1300,1408
Lenovo,Desktop,Usado,PCWorld,2017,2350,1152
Asus,All-in-One,Certificado,ElectroShop,2007,1200,1280
Sony,Desktop,Certificado,PCWorld,2021,2050,128
Apple,Laptop,Nuevo,GadgetPlus,2020,3950,1152
Samsung,Laptop,Usado,GadgetPlus,2016,3450,1664
MSI,Workstation,Nuevo,ElectroShop,2012,4800,768
Sony,Desktop,Certificado,PCWorld,2009,1400,1152
Toshiba,Laptop,Certificado,ComputoMx,2011,2800,1152
Apple,Workstation,Usado,ElectroShop,2016,1200,1024
Apple,Convertible,Certificado,ComputoMx,2014,3250,256
Asus,All-in-One,Certificado,GadgetPlus,2015,2500,512
Dell,Desktop,Certificado,ElectroShop,2000,300,768
Lenovo,Desktop,Certificado,ElectroShop,2018,4550,512
Dell,All-in-One,Usado,PCWorld,2010,4600,1920
Dell,Workstation,Certificado,GadgetPlus,2010,550,1024
Lenovo,Desktop,Nuevo,TechStore,2023,3000,1408
Dell,All-in-One,Usado,GadgetPlus,2002,4800,896
Sony,Laptop,Usado,ComputoMx,2016,4950,1792
MSI,Laptop,Nuevo,PCWorld,2020,4150,1536
MSI,Laptop,Certificado,TechStore,2004,4200,1408
Lenovo,All-in-One,Certificado,ComputoMx,2015,2600,768
Lenovo,All-in-One,Nuevo,GadgetPlus,2018,850,1024
Lenovo,All-in-One,Nuevo,TechStore,2004,3750,1920
Acer,All-in-One,Certificado,PCWorld,2016,4650,768
Dell,Workstation,Usado,PCWorld,2017,1400,1152
Sony,Laptop,Usado,ElectroShop,2005,4450,1920
Toshiba,Gaming,Certificado,ComputoMx,2010,700,256
Apple,Laptop,Nuevo,TechStore,2017,4450,1664
MSI,All-in-One,Certificado,GadgetPlus,2019,850,896
Sony,Convertible,Nuevo,GadgetPlus,2022,1450,1280
Acer,Workstation,Nuevo,ComputoMx,2020,300,1024
Asus,Workstation,Certificado,ComputoMx,2017,1850,640
Lenovo,Convertible,Nuevo,TechStore,2010,4250,1920
Sony,Workstation,Nuevo,PCWorld,2007,2550,1408
Asus,Workstation,Certificado,PCWorld,2017,3150,1920
Dell,Convertible,Usado,PCWorld,2018,1850,640
Dell,Workstation,Usado,ComputoMx,2009,1000,1024
Acer,Laptop,Usado,PCWorld,2011,600,512
Sony,Gaming,Nuevo,PCWorld,2023,500,768
Asus,All-in-One,Certificado,ComputoMx,2020,800,1792
Samsung,Laptop,Usado,ElectroShop,2022,4800,512
MSI,Desktop,Usado,TechStore,2020,1300,768
HP,Desktop,Certificado,ElectroShop,2004,3150,1280
Dell,Desktop,Nuevo,GadgetPlus,2005,4200,1792
Asus,Desktop,Nuevo,ComputoMx,2008,3100,640
Dell,Desktop,Usado,ComputoMx,2014,2700,1280
MSI,Desktop,Certificado,ComputoMx,2019,2950,256
Lenovo,Laptop,Certificado,GadgetPlus,2009,4150,1408
Apple,Workstation,Certificado,PCWorld,2012,3350,768
Sony,Convertible,Nuevo,PCWorld,2008,3700,512
MSI,Convertible,Nuevo,GadgetPlus,2013,1700,256
Dell,Gaming,Certificado,PCWorld,2001,2300,896
Apple,All-in-One,Certificado,GadgetPlus,2008,1300,384
Toshiba,Workstation,Certificado,PCWorld,2016,4400,1536
Sony,Gaming,Usado,TechStore,2001,1850,640
Toshiba,Convertible,Usado,PCWorld,2001,1900,1920
Acer,Workstation,Usado,ComputoMx,2011,3400,1408
Acer,Convertible,Nuevo,ComputoMx,2005,3650,1536
Samsung,Desktop,Nuevo,GadgetPlus,2017,2500,1536
Asus,Workstation,Nuevo,PCWorld,2023,4150,640
Sony,Laptop,Usado,ComputoMx,2014,950,384
Dell,Workstation,Usado,GadgetPlus,2012,1400,768
Toshiba,Desktop,Certificado,ComputoMx,2003,2350,1024
Asus,Desktop,Usado,GadgetPlus,2000,4650,1536
Samsung,Laptop,Nuevo,ComputoMx,2001,2300,1152
HP,Workstation,Usado,PCWorld,2003,3450,1920
Samsung,Desktop,Certificado,TechStore,2019,4550,128
HP,Gaming,Certificado,ComputoMx,2024,500,256
Acer,Gaming,Usado,ComputoMx,2019,650,128
Apple,Laptop,Certificado,GadgetPlus,2010,3650,768
Asus,Desktop,Nuevo,PCWorld,2021,4950,1536
Lenovo,Laptop,Certificado,ElectroShop,2007,2400,128
Sony,Desktop,Usado,ComputoMx,2021,4700,1408
Samsung,Desktop,Certificado,ElectroShop,2013,300,1536
Samsung,Gaming,Certificado,TechStore,2017,3050,384
Samsung,Convertible,Certificado,ElectroShop,2015,4750,1152
MSI,Laptop,Certificado,ElectroShop,2008,4850,1408
Apple,All-in-One,Certificado,ComputoMx,2013,3650,768
Lenovo,All-in-One,Nuevo,TechStore,2024,2000,1536
Toshiba,Laptop,Nuevo,ComputoMx,2009,4150,1536
Sony,Laptop,Usado,TechStore,2021,2750,1664
Samsung,All-in-One,Certificado,ComputoMx,2019,1700,1664
Acer,Workstation,Usado,ComputoMx,2016,4550,1792
Lenovo,Workstation,Certificado,PCWorld,2015,1300,1024
Apple,Convertible,Usado,TechStore,2006,700,640
HP,Desktop,Nuevo,GadgetPlus,2008,3150,1408
HP,Convertible,Certificado,ComputoMx,2007,1100,1280
Toshiba,Gaming,Usado,ComputoMx,2020,3100,896
Samsung,Desktop,Certificado,GadgetPlus,2003,3050,768
Dell,All-in-One,Nuevo,ElectroShop,2019,3850,1792
Toshiba,All-in-One,Usado,PCWorld,2018,1500,640
Asus,Gaming,Certificado,ComputoMx,2010,4400,640
Sony,All-in-One,Nuevo,ComputoMx,2005,2000,1792
Toshiba,Laptop,Usado,ComputoMx,2009,3800,1408
Toshiba,Laptop,Nuevo,PCWorld,2013,600,1792
MSI,Desktop,Certificado,ComputoMx,2002,3250,384
Samsung,Gaming,Nuevo,GadgetPlus,2019,700,1664
MSI,Desktop,Certificado,GadgetPlus,2009,250,1664
Toshiba,Laptop,Nuevo,TechStore,2004,1200,1664
Apple,Workstation,Certificado,ElectroShop,2024,1600,1536
Acer,Gaming,Nuevo,ElectroShop,2017,500,1664
Dell,All-in-One,Usado,PCWorld,2015,2050,896
Sony,Workstation,Usado,ElectroShop,2000,4700,1792
Asus,All-in-One,Certificado,PCWorld,2014,250,1280
Asus,Gaming,Usado,PCWorld,2008,1450,512
Toshiba,Laptop,Usado,PCWorld,2003,550,384
Sony,Convertible,Nuevo,ComputoMx,2023,2450,1408
Dell,Convertible,Usado,TechStore,2012,3850,1792
Toshiba,Laptop,Usado,ElectroShop,2004,4600,512
Lenovo,Desktop,Nuevo,TechStore,2008,1250,1024
HP,All-in-One,Certificado,ElectroShop,2007,2750,1152
MSI,All-in-One,Usado,ElectroShop,2010,4650,384
MSI,All-in-One,Nuevo,GadgetPlus,2014,2600,1408
Asus,All-in-One,Nuevo,TechStore,2022,4950,640
Acer,Convertible,Nuevo,ComputoMx,2018,4000,1920
Lenovo,Workstation,Certificado,GadgetPlus,2004,4050,1408
Toshiba,Desktop,Nuevo,ComputoMx,2011,1200,1920
Acer,Workstation,Certificado,ElectroShop,2022,550,1152
Asus,Gaming,Usado,GadgetPlus,2021,900,1152
Asus,Workstation,Nuevo,TechStore,2011,3650,512
Sony,Workstation,Certificado,ElectroShop,2000,2650,256
Apple,All-in-One,Nuevo,TechStore,2014,2300,1792
Acer,Gaming,Usado,GadgetPlus,2002,2150,768
Sony,All-in-One,Certificado,ElectroShop,2007,4550,768
HP,Convertible,Usado,ComputoMx,2015,450,1792
Samsung,Workstation,Nuevo,PCWorld,2016,3800,1024
Lenovo,Convertible,Nuevo,ElectroShop,2020,2000,1792
