id,marca,modelo,precio,almacenamiento,tipo_almacenamiento,ram,procesador,generacion_procesador,estado,tienda,anio,sistema_operativo,pantalla,tipo,rating,stock
14,MSI,Prestige,1281.36,1024,SSD,8,AMD Ryzen 5 6xxx,6,Usado,BestBuy,2021,macOS,20.3,Laptop,4.7,3
15,Apple,Mac Studio,1448.68,128,SSD,16,Intel i9-131,1,Nuevo,BestBuy,2016,macOS,,Desktop,4.2,33
16,Acer,Aspire,851.27,256,HDD,16,Intel i5-301,3,Nuevo,Frys,2018,Windows,12.6,Laptop,4.0,8
17,Acer,Predator,685.83,1024,SSD,16,Intel i9-367,3,Nuevo,BestBuy,2018,macOS,25.9,Laptop,4.8,16
18,Dell,XPS 13,922.13,256,SSD,16,Intel i9-862,8,Nuevo,MicroCenter,2023,Linux,,Desktop,,27
19,Asus,ZenBook,627.48,4096,HDD,16,Intel i9-1,0,Nuevo,Amazon,2015,Windows,,Desktop,4.1,23
20,Samsung,Galaxy Book Flex,974.83,512,SSD,64,AMD Ryzen 7 2xxx,2,Nuevo,Walmart,2017,macOS,,Desktop,4.1,26
21,Samsung,Galaxy Book Flex,1345.39,256,SSD,8,Intel i5-294,2,Nuevo,B&H,2017,macOS,21.7,Laptop,3.5,10
22,Toshiba,Satellite,487.78,1024,SSD,8,Intel i5-628,6,Usado,BestBuy,2021,macOS,15.5,Laptop,,5
23,Acer,ConceptD,690.32,2048,HDD,64,AMD Ryzen 7 8xxx,8,Certificado,BestBuy,2023,Windows,22.7,Laptop,4.2,9
24,Dell,Alienware,332.74,2048,SSD,16,Intel i9-325,3,Usado,B&H,2018,Windows,25.7,All-in-One,4.3,2
25,Toshiba,Tecra,728.19,512,HDD,8,Intel i7-886,8,Nuevo,Newegg,2023,Windows,19.8,Laptop,,18
26,Lenovo,IdeaPad,936.65,256,SSD,32,Intel i5-584,5,Nuevo,Amazon,2020,Windows,,Desktop,3.2,48
27,Lenovo,ThinkBook,737.9,128,HDD,16,Intel i5-458,4,Nuevo,Target,2019,Linux,22.5,Laptop,3.8,9
28,LG,UltraFine,958.8,1024,HDD,32,Intel i7-6,0,Usado,Walmart,2015,Linux,13.1,Laptop,4.1,9
29,Samsung,Galaxy Book Pro,821.04,1024,SSD,32,Intel i7-757,7,Usado,MicroCenter,2022,macOS,,Desktop,4.6,8
30,LG,Gram,560.36,256,SSD,8,AMD Ryzen 7 4xxx,4,Usado,Newegg,2019,macOS,17.5,Laptop,3.8,4
31,Microsoft,Surface Book,687.68,128,SSD,16,Intel i7-68,0,Usado,Walmart,2015,Windows,18.8,Laptop,4.3,7
32,Toshiba,Satellite,858.48,2048,SSD,16,AMD Ryzen 7 7xxx,7,Certificado,Newegg,2022,Linux,15.2,Laptop,3.9,6
33,Microsoft,Surface Studio,1053.95,128,SSD,128,AMD Ryzen 9 6xxx,6,Nuevo,Amazon,2021,macOS,,Desktop,4.9,12
34,Apple,Mac Studio,978.94,256,SSD,16,AMD Ryzen 7 2xxx,2,Nuevo,Newegg,2017,macOS,,Desktop,4.4,49
35,HP,Pavilion,576.49,2048,SSD,32,AMD Ryzen 9 1xxx,1,Usado,Walmart,2016,Windows,,Desktop,4.2,2
36,Samsung,Galaxy Book,1195.18,128,SSD,4,Intel i7-513,5,Nuevo,Target,2020,Sin SO,,Desktop,4.4,27
37,HP,ZBook,1543.94,1024,SSD,16,Intel i9-875,8,Nuevo,MicroCenter,2023,Windows,26.0,Laptop,3.9,48
38,MSI,Creator,1384.58,256,SSD,8,AMD Ryzen 7 6xxx,6,Nuevo,MicroCenter,2021,Windows,14.1,Laptop,3.8,35
39,Lenovo,ThinkBook,1148.16,1024,HDD,8,Intel i7-784,7,Nuevo,B&H,2022,Windows,17.8,Laptop,3.7,44
40,MSI,Prestige,1188.4,256,HDD,16,Intel i5-424,4,Nuevo,Walmart,2019,macOS,20.4,Laptop,4.2,6
41,Lenovo,Legion,794.77,1024,HDD,4,AMD Ryzen 7 3xxx,3,Nuevo,Newegg,2018,Windows,,Desktop,3.0,18
42,MSI,Summit,1082.92,2048,HDD,8,Intel i9-780,7,Certificado,BestBuy,2022,Windows,,Desktop,3.2,4
43,Dell,Latitude,603.49,512,SSD,16,Intel i7-639,6,Usado,BestBuy,2021,Windows,,Desktop,3.4,4
44,Asus,ProArt,562.64,128,HDD,16,Intel i7-104,1,Nuevo,Walmart,2016,Windows,24.8,Laptop,,14
45,Asus,ProArt,776.29,512,SSD,32,AMD Ryzen 5 3xxx,3,Nuevo,MicroCenter,2018,Windows,,Desktop,3.9,29
46,Toshiba,Tecra,1037.82,512,HDD,4,Intel i7-677,6,Nuevo,MicroCenter,2021,Windows,21.8,Laptop,4.2,1
47,LG,UltraPC,1178.13,512,SSD,8,Intel i7-81,0,Nuevo,Frys,2015,Sin SO,17.5,Laptop,3.2,10
48,Acer,Swift,545.89,512,SSD,8,AMD Ryzen 7 7xxx,7,Usado,BestBuy,2022,macOS,17.6,Laptop,3.7,8
49,LG,UltraPC,775.7,2048,SSD,16,AMD Ryzen 9 0xxx,0,Nuevo,Walmart,2015,macOS,11.2,Laptop,3.4,7
50,MSI,Stealth,801.64,256,SSD,64,AMD Ryzen 9 2xxx,2,Usado,Newegg,2017,Windows,19.1,All-in-One,4.7,5
51,Microsoft,Surface Studio,1150.03,1024,SSD,16,Intel i5-857,8,Nuevo,Frys,2023,Windows,19.7,Laptop,3.6,12
52,Toshiba,Satellite,264.23,1024,SSD,32,AMD Ryzen 9 6xxx,6,Usado,Newegg,2021,Windows,19.0,Laptop,4.7,8
53,Dell,Latitude,768.3,2048,SSD,8,Intel i7-743,7,Nuevo,Target,2022,Windows,,Desktop,4.7,24
54,Acer,ConceptD,1130.42,128,SSD,32,Intel i9-711,7,Nuevo,Target,2022,Sin SO,,Desktop,3.2,10
55,Toshiba,Tecra,209.27,512,HDD,16,Intel i5-21,0,Usado,Newegg,2015,Windows,,Desktop,3.5,10
56,HP,Envy,1223.82,1024,SSD,16,AMD Ryzen 9 7xxx,7,Nuevo,Newegg,2022,Windows,26.8,All-in-One,4.9,44
57,Asus,TUF,669.28,512,HDD,16,Intel i9-437,4,Nuevo,BestBuy,2019,Sin SO,,Desktop,4.1,43
58,Toshiba,Satellite,719.25,256,SSD,8,AMD Ryzen 7 7xxx,7,Usado,Newegg,2022,Windows,21.3,All-in-One,3.9,10
59,Acer,ConceptD,508.74,1024,HDD,8,Intel i7-267,2,Nuevo,MicroCenter,2017,macOS,24.2,Laptop,4.6,47
60,Acer,Predator,1188.97,4096,SSD,16,Intel i9-746,7,Nuevo,Amazon,2022,macOS,19.6,Laptop,4.3,43
61,Asus,ExpertBook,507.93,256,HDD,32,Intel i9-628,6,Usado,Amazon,2021,Windows,22.2,Laptop,3.2,1
62,Apple,iMac,1069.34,512,SSD,8,Intel i9-769,7,Nuevo,Target,2022,macOS,22.6,Laptop,4.3,31
63,Samsung,Galaxy Book Pro,739.83,512,SSD,32,AMD Ryzen 9 4xxx,4,Nuevo,B&H,2019,Windows,16.7,All-in-One,3.4,7
64,MSI,Stealth,1533.51,128,SSD,8,AMD Ryzen 9 3xxx,3,Nuevo,Walmart,2018,Windows,,Desktop,3.4,14
65,Acer,Nitro,495.58,512,SSD,8,Intel i5-1,0,Certificado,B&H,2015,macOS,16.2,Laptop,3.1,7
66,Razer,Blade 14,892.46,256,SSD,32,AMD Ryzen 9 1xxx,1,Usado,MicroCenter,2016,Windows,12.0,All-in-One,3.8,2
67,MSI,Summit,1637.93,256,HDD,16,Intel i9-141,1,Nuevo,Target,2016,Sin SO,18.3,Laptop,3.2,44
68,Dell,Precision,1428.09,512,HDD,8,Intel i7-893,8,Nuevo,Amazon,2023,Windows,15.1,Laptop,4.4,30
69,Dell,XPS 13,649.84,1024,SSD,16,Intel i9-171,1,Nuevo,B&H,2016,macOS,25.0,Laptop,3.8,46
70,Apple,iMac,1176.4,256,SSD,8,AMD Ryzen 9 4xxx,4,Nuevo,B&H,2019,macOS,15.5,Laptop,3.9,35
71,Samsung,Galaxy Book Flex,627.13,256,HDD,16,AMD Ryzen 7 8xxx,8,Usado,B&H,2023,Windows,,Desktop,3.8,3
72,Toshiba,Portege,424.6,512,SSD,8,AMD Ryzen 7 0xxx,0,Nuevo,Amazon,2015,Linux,23.1,Laptop,,5
73,Asus,TUF,918.39,256,SSD,8,Intel i7-686,6,Nuevo,Frys,2021,Windows,14.5,Laptop,3.1,13
74,Asus,VivoBook,936.16,256,SSD,16,AMD Ryzen 9 2xxx,2,Nuevo,Walmart,2017,Windows,,Desktop,3.1,47
75,Apple,Mac mini,1066.74,256,SSD,16,Intel i7-14,0,Nuevo,Target,2015,macOS,16.2,Laptop,4.2,44
76,Acer,Predator,1071.17,512,SSD,8,AMD Ryzen 7 6xxx,6,Nuevo,Walmart,2021,Windows,19.2,Laptop,4.0,49
77,Acer,Aspire,585.77,256,SSD,16,Intel i5-298,2,Nuevo,Frys,2017,Windows,20.3,Laptop,4.8,41
78,LG,UltraFine,1563.58,256,HDD,16,AMD Ryzen 7 5xxx,5,Nuevo,BestBuy,2020,Windows,18.4,Laptop,,23
79,Asus,ZenBook,812.29,512,SSD,16,Intel i7-173,1,Nuevo,Walmart,2016,Windows,13.4,Laptop,,6
80,Acer,ConceptD,694.13,256,SSD,16,Intel i5-146,1,Nuevo,B&H,2016,Linux,23.4,Laptop,3.1,40
81,LG,UltraPC,909.73,512,HDD,32,Intel i9-119,1,Nuevo,B&H,2016,Windows,,Desktop,3.6,41
82,Toshiba,Portege,248.71,512,SSD,8,AMD Ryzen 9 6xxx,6,Usado,Amazon,2021,Windows,16.8,Laptop,3.4,4
83,Acer,Swift,607.04,128,SSD,8,Intel i9-367,3,Nuevo,BestBuy,2018,macOS,,Desktop,4.2,9
84,HP,Envy,1052.08,512,SSD,64,Intel i9-257,2,Nuevo,Walmart,2017,Windows,23.9,Laptop,4.7,23
85,LG,UltraFine,1297.81,512,SSD,64,Intel i9-717,7,Nuevo,MicroCenter,2022,Windows,16.9,Laptop,4.4,33
86,Dell,Inspiron,1099.44,2048,HDD,16,Intel i5-157,1,Nuevo,B&H,2016,Linux,17.3,Laptop,3.8,5
87,Acer,Nitro,572.01,1024,SSD,8,AMD Ryzen 7 0xxx,0,Nuevo,Newegg,2015,macOS,20.8,Laptop,3.0,13
88,HP,EliteBook,539.16,256,HDD,16,Intel i5-814,8,Usado,Frys,2023,Windows,19.2,Laptop,3.3,7
89,Apple,Mac Studio,1114.45,1024,SSD,64,AMD Ryzen 9 5xxx,5,Nuevo,BestBuy,2020,macOS,18.5,Laptop,5.0,16
90,Toshiba,Satellite,913.27,1024,SSD,16,Intel i7-517,5,Nuevo,BestBuy,2020,Windows,21.3,Laptop,4.4,44
91,MSI,Raider,529.0,256,HDD,8,AMD Ryzen 7 2xxx,2,Usado,Target,2017,Sin SO,15.1,Laptop,3.4,6
92,Apple,Mac Pro,659.31,512,SSD,64,AMD Ryzen 5 5xxx,5,Usado,Frys,2020,macOS,,Desktop,4.6,5
93,Dell,Precision,792.68,1024,SSD,8,AMD Ryzen 9 6xxx,6,Nuevo,MicroCenter,2021,Windows,,Desktop,4.4,22
94,MSI,Stealth,1637.35,512,SSD,8,Intel i7-546,5,Nuevo,Newegg,2020,Sin SO,20.7,Laptop,3.1,4
95,Lenovo,ThinkBook,357.11,256,SSD,8,Intel i5-573,5,Usado,Newegg,2020,Windows,21.4,Laptop,3.2,3
96,MSI,Creator,2044.23,1024,SSD,8,Intel i9-662,6,Nuevo,Walmart,2021,Windows,,Desktop,4.8,28
97,Dell,Precision,764.29,256,HDD,8,Intel i9-581,5,Usado,Newegg,2020,macOS,12.9,Laptop,3.3,8
98,Apple,iMac,1619.33,4096,SSD,32,AMD Ryzen 7 8xxx,8,Nuevo,Frys,2023,macOS,23.3,Laptop,3.1,20
99,LG,Gram,1301.84,256,SSD,16,Intel i5-755,7,Nuevo,BestBuy,2022,macOS,15.9,Laptop,4.9,14
100,Acer,Spin,989.61,512,SSD,8,AMD Ryzen 9 4xxx,4,Nuevo,Amazon,2019,Windows,26.1,Laptop,4.3,46
101,Samsung,Galaxy Book Pro,1154.8,128,SSD,16,Intel i9-53,0,Nuevo,BestBuy,2015,Windows,,Desktop,4.9,30
102,Lenovo,ThinkBook,852.31,128,SSD,16,AMD Ryzen 9 6xxx,6,Nuevo,Newegg,2021,Windows,,Desktop,4.7,25
103,HP,Pavilion,1205.18,512,HDD,8,AMD Ryzen 7 8xxx,8,Nuevo,Target,2023,Linux,26.4,Laptop,4.6,36
104,Toshiba,Tecra,827.38,512,SSD,8,AMD Ryzen 7 3xxx,3,Nuevo,Frys,2018,Sin SO,16.6,Laptop,,31
105,Samsung,Galaxy Book Flex,1064.31,256,HDD,8,AMD Ryzen 7 7xxx,7,Nuevo,B&H,2022,Windows,20.0,Laptop,3.6,24
106,Razer,Blade Pro,1404.6,256,SSD,8,Intel i7-871,8,Certificado,B&H,2023,macOS,19.1,Laptop,3.1,3
107,Toshiba,Tecra,826.73,2048,HDD,32,AMD Ryzen 7 7xxx,7,Nuevo,MicroCenter,2022,Windows,19.2,Laptop,4.1,30
108,Apple,iMac,1263.71,1024,SSD,16,AMD Ryzen 7 5xxx,5,Certificado,MicroCenter,2020,macOS,23.5,All-in-One,4.2,1
109,Samsung,Galaxy Book Pro,742.07,512,SSD,8,Intel i9-214,2,Usado,Walmart,2017,Windows,13.4,Laptop,3.8,10
110,MSI,Stealth,1347.86,4096,SSD,8,Intel i7-268,2,Nuevo,B&H,2017,Windows,,Desktop,4.4,44
111,Asus,ExpertBook,748.07,512,HDD,64,AMD Ryzen 7 7xxx,7,Nuevo,Walmart,2022,macOS,18.7,Laptop,4.9,46
112,Asus,ROG,789.65,2048,SSD,8,Intel i5-137,1,Nuevo,BestBuy,2016,Windows,,Desktop,3.9,16
113,Toshiba,Tecra,544.01,2048,SSD,8,Intel i9-330,3,Nuevo,Walmart,2018,Windows,14.6,All-in-One,3.2,21
114,Toshiba,Tecra,717.65,4096,SSD,8,Intel i7-161,1,Nuevo,Walmart,2016,macOS,15.6,Laptop,,49
115,Dell,Precision,803.0,2048,HDD,32,AMD Ryzen 5 3xxx,3,Usado,Target,2018,macOS,23.0,Laptop,3.6,1
116,Apple,iMac,1513.39,512,SSD,16,Intel i5-164,1,Nuevo,Frys,2016,macOS,23.9,Laptop,4.5,41
117,Asus,ProArt,507.77,256,SSD,8,Intel i9-251,2,Nuevo,Target,2017,Windows,21.7,Laptop,3.3,20
118,Lenovo,ThinkPad,844.55,256,SSD,16,Intel i7-483,4,Nuevo,B&H,2019,macOS,12.9,Laptop,3.8,32
119,Toshiba,Tecra,381.85,256,SSD,16,Intel i9-147,1,Usado,Target,2016,macOS,23.1,All-in-One,4.7,4
120,LG,UltraFine,1057.61,512,SSD,8,Intel i9-125,1,Nuevo,Newegg,2016,Windows,,Desktop,4.4,45
121,Samsung,Galaxy Book Pro,1265.07,128,HDD,16,Intel i9-159,1,Nuevo,MicroCenter,2016,macOS,24.1,Laptop,4.2,2
122,Microsoft,Surface Studio,1069.43,2048,SSD,16,AMD Ryzen 5 1xxx,1,Nuevo,Newegg,2016,macOS,21.3,All-in-One,5.0,24
123,MSI,Summit,955.24,256,SSD,8,Intel i7-667,6,Certificado,Newegg,2021,macOS,11.1,Laptop,,5
124,MSI,Creator,802.43,256,HDD,32,Intel i5-604,6,Usado,Target,2021,Windows,25.2,All-in-One,3.1,10
125,Apple,Mac mini,894.89,512,SSD,16,Intel i5-64,0,Nuevo,MicroCenter,2015,macOS,25.7,Laptop,4.2,49
126,LG,UltraPC,973.28,1024,HDD,8,AMD Ryzen 9 3xxx,3,Nuevo,Newegg,2018,Windows,18.9,Laptop,4.9,42
127,Microsoft,Surface Studio,1199.8,256,SSD,8,AMD Ryzen 9 6xxx,6,Nuevo,Newegg,2021,macOS,20.0,All-in-One,4.1,8
128,Microsoft,Surface Pro,930.65,2048,SSD,8,Intel i5-406,4,Nuevo,MicroCenter,2019,Windows,,Desktop,,4
129,Lenovo,ThinkCentre,854.92,2048,SSD,32,AMD Ryzen 5 8xxx,8,Nuevo,Amazon,2023,macOS,,Desktop,4.4,45
130,Lenovo,IdeaPad,506.83,512,SSD,8,Intel i7-359,3,Usado,Amazon,2018,macOS,,Desktop,3.6,4
131,Acer,Aspire,399.49,128,SSD,16,Intel i7-619,6,Usado,Walmart,2021,Windows,24.3,Laptop,4.3,6
132,Asus,TUF,506.42,256,SSD,8,Intel i9-707,7,Usado,BestBuy,2022,macOS,24.1,Laptop,,1
133,Microsoft,Surface Pro,779.91,256,SSD,8,Intel i9-361,3,Nuevo,Frys,2018,Windows,17.6,Laptop,,46
134,Asus,ExpertBook,372.2,1024,SSD,8,AMD Ryzen 5 4xxx,4,Usado,Walmart,2019,Windows,24.0,Laptop,3.8,6
135,Microsoft,Surface Book,1542.7,1024,SSD,16,Intel i5-311,3,Nuevo,Target,2018,Windows,11.9,Laptop,,10
136,Dell,Alienware,1262.98,4096,SSD,32,Intel i5-627,6,Nuevo,Frys,2021,Windows,22.0,All-in-One,4.1,42
137,Apple,MacBook Pro,889.77,256,SSD,32,Intel i7-520,5,Nuevo,Walmart,2020,macOS,24.6,Laptop,4.1,24
138,Toshiba,Satellite,450.94,512,SSD,8,Intel i9-150,1,Certificado,B&H,2016,Windows,26.9,Laptop,3.7,7
139,Microsoft,Surface Pro,898.21,1024,SSD,8,AMD Ryzen 9 6xxx,6,Nuevo,Newegg,2021,macOS,12.7,Laptop,,19
140,MSI,Prestige,1031.02,512,SSD,16,AMD Ryzen 5 4xxx,4,Nuevo,B&H,2019,Windows,23.6,Laptop,3.0,26
141,Microsoft,Surface Laptop,1459.76,256,SSD,8,AMD Ryzen 7 8xxx,8,Certificado,Newegg,2023,Windows,17.7,Laptop,3.2,5
142,Lenovo,ThinkBook,1108.83,256,SSD,32,AMD Ryzen 9 7xxx,7,Nuevo,Target,2022,macOS,16.4,Laptop,4.7,38
143,HP,Pavilion,1107.18,512,HDD,8,AMD Ryzen 9 5xxx,5,Nuevo,Frys,2020,Sin SO,,Desktop,3.6,50
144,Microsoft,Surface Studio,1364.62,4096,HDD,16,AMD Ryzen 9 1xxx,1,Nuevo,Frys,2016,Linux,23.8,Laptop,3.1,50
145,Microsoft,Surface Book,1193.27,1024,SSD,16,AMD Ryzen 9 2xxx,2,Nuevo,Frys,2017,Windows,25.8,Laptop,3.8,2
146,Acer,ConceptD,437.27,256,SSD,8,Intel i9-882,8,Usado,Target,2023,Sin SO,23.7,Laptop,3.2,4
147,Razer,Blade 15,1752.41,1024,SSD,8,Intel i7-713,7,Nuevo,MicroCenter,2022,Windows,12.9,All-in-One,3.3,19
148,Acer,Swift,769.37,128,SSD,16,AMD Ryzen 5 3xxx,3,Nuevo,Amazon,2018,Windows,12.7,Laptop,4.9,47
149,Lenovo,ThinkCentre,877.72,512,SSD,16,Intel i5-281,2,Nuevo,Target,2017,Windows,,Desktop,3.9,27
150,Microsoft,Surface Laptop,646.73,128,HDD,32,AMD Ryzen 7 3xxx,3,Usado,Walmart,2018,Windows,24.8,Laptop,4.3,10
151,Microsoft,Surface Book,597.46,1024,SSD,8,Intel i5-186,1,Usado,Newegg,2016,Windows,12.9,Laptop,3.3,7
152,Microsoft,Surface Pro,1213.61,512,SSD,32,AMD Ryzen 5 6xxx,6,Nuevo,Frys,2021,Windows,24.5,Laptop,4.7,0
153,MSI,Raider,1369.01,512,SSD,16,Intel i7-321,3,Certificado,Amazon,2018,Windows,,Desktop,3.1,4
154,Razer,Blade 17,1892.71,1024,SSD,16,Intel i7-299,2,Nuevo,B&H,2017,Windows,,Desktop,3.9,13
155,Microsoft,Surface Laptop,766.19,256,SSD,16,Intel i5-326,3,Certificado,B&H,2018,Linux,,Desktop,4.2,4
156,Lenovo,ThinkPad,983.69,256,SSD,8,Intel i9-586,5,Nuevo,Amazon,2020,Windows,,Desktop,3.1,17
157,LG,Gram,650.76,1024,SSD,16,Intel i7-280,2,Usado,Target,2017,Windows,23.7,Laptop,3.8,5
158,Toshiba,Tecra,1082.23,128,SSD,16,Intel i7-781,7,Nuevo,B&H,2022,Linux,,Desktop,4.9,13
159,MSI,Prestige,1871.97,512,SSD,16,AMD Ryzen 9 5xxx,5,Nuevo,BestBuy,2020,Windows,,Desktop,3.0,10
160,MSI,Summit,1641.32,4096,SSD,32,AMD Ryzen 7 0xxx,0,Nuevo,Amazon,2015,macOS,16.9,Laptop,3.3,25
161,LG,UltraPC,1078.7,128,HDD,8,Intel i9-387,3,Nuevo,Frys,2018,Windows,,Desktop,5.0,27
162,Toshiba,Satellite,560.8,1024,HDD,8,Intel i5-748,7,Nuevo,Newegg,2022,Windows,,Desktop,,36
163,Apple,Mac Studio,752.91,256,SSD,16,Intel i5-212,2,Usado,Newegg,2017,macOS,,Desktop,3.8,7
164,Acer,Nitro,634.83,512,SSD,16,Intel i9-303,3,Nuevo,MicroCenter,2018,Windows,,Desktop,3.8,41
165,Apple,MacBook Pro,1360.39,512,SSD,32,AMD Ryzen 7 7xxx,7,Nuevo,B&H,2022,macOS,24.8,Laptop,3.7,43
166,HP,Omen,561.02,256,HDD,8,Intel i9-136,1,Nuevo,Target,2016,Windows,21.2,Laptop,3.3,5
167,Asus,ZenBook,954.36,256,SSD,16,Intel i9-808,8,Certificado,MicroCenter,2023,macOS,,Desktop,3.1,2
168,Microsoft,Surface Laptop,1444.05,1024,SSD,8,AMD Ryzen 5 7xxx,7,Nuevo,BestBuy,2022,Windows,19.4,All-in-One,4.4,10
169,Acer,Nitro,924.63,2048,SSD,16,Intel i7-491,4,Nuevo,Amazon,2019,Windows,11.9,Laptop,3.3,10
170,Asus,ZenBook,601.53,128,SSD,8,Intel i7-119,1,Nuevo,Newegg,2016,Linux,,Desktop,4.8,47
171,LG,UltraPC,989.85,1024,HDD,8,AMD Ryzen 9 3xxx,3,Nuevo,BestBuy,2018,Windows,,Desktop,4.9,4
172,MSI,Prestige,1268.48,128,HDD,16,AMD Ryzen 9 4xxx,4,Nuevo,Walmart,2019,Windows,18.9,Laptop,3.4,34
173,Lenovo,Yoga,1010.7,512,SSD,16,AMD Ryzen 7 0xxx,0,Nuevo,BestBuy,2015,macOS,22.8,Laptop,3.4,15
174,Microsoft,Surface Book,1328.76,256,HDD,8,Intel i7-89,0,Nuevo,B&H,2015,Windows,,Desktop,4.0,40
175,Microsoft,Surface Laptop,704.11,256,SSD,32,Intel i9-41,0,Certificado,B&H,2015,Windows,26.1,Laptop,4.5,2
176,HP,Spectre,873.05,256,SSD,16,Intel i7-233,2,Nuevo,Amazon,2017,Windows,,Desktop,4.4,38
177,Apple,MacBook Pro,804.92,512,SSD,8,Intel i5-503,5,Usado,Target,2020,macOS,,Desktop,4.1,2
178,MSI,Stealth,963.69,1024,HDD,8,Intel i9-280,2,Nuevo,Amazon,2017,Windows,24.0,Laptop,,4
179,Lenovo,ThinkBook,1271.51,1024,SSD,8,Intel i5-721,7,Nuevo,Target,2022,macOS,11.5,Laptop,3.3,13
180,HP,Pavilion,949.86,512,SSD,16,Intel i9-461,4,Nuevo,BestBuy,2019,Windows,17.7,Laptop,4.6,15
181,LG,UltraFine,728.96,512,SSD,32,Intel i7-34,0,Usado,Newegg,2015,Windows,11.5,Laptop,3.6,8
182,Razer,Blade 17,2209.68,1024,HDD,32,Intel i5-397,3,Nuevo,Walmart,2018,Windows,17.2,All-in-One,5.0,11
183,HP,Envy,1259.23,2048,HDD,16,Intel i9-518,5,Nuevo,Walmart,2020,macOS,,Desktop,4.1,11
184,MSI,Stealth,859.62,128,SSD,8,Intel i5-143,1,Nuevo,Newegg,2016,Linux,,Desktop,3.0,37
185,Toshiba,Satellite,622.58,512,SSD,8,AMD Ryzen 7 1xxx,1,Usado,B&H,2016,Windows,26.2,Laptop,4.9,6
186,HP,ZBook,940.55,256,SSD,8,AMD Ryzen 9 8xxx,8,Usado,MicroCenter,2023,Windows,,Desktop,4.9,7
187,Samsung,Galaxy Book,868.69,256,SSD,32,AMD Ryzen 9 2xxx,2,Usado,Amazon,2017,Windows,13.7,All-in-One,3.2,6
188,MSI,Stealth,1144.39,512,SSD,16,AMD Ryzen 7 4xxx,4,Nuevo,Target,2019,Sin SO,,Desktop,3.8,34
189,Microsoft,Surface Laptop,1615.35,1024,HDD,16,Intel i5-737,7,Nuevo,BestBuy,2022,Windows,12.2,All-in-One,3.8,46
190,Dell,Latitude,715.29,1024,SSD,16,Intel i7-120,1,Certificado,BestBuy,2016,Windows,14.0,Laptop,4.4,9
191,Asus,ProArt,730.45,512,SSD,16,AMD Ryzen 5 4xxx,4,Nuevo,Target,2019,Windows,,Desktop,4.0,6
192,Apple,MacBook Pro,1057.19,256,SSD,16,Intel i7-211,2,Certificado,Target,2017,macOS,25.2,Laptop,3.9,5
193,MSI,Summit,1161.85,128,SSD,16,AMD Ryzen 7 4xxx,4,Nuevo,Target,2019,Sin SO,19.9,Laptop,4.6,26
194,Razer,Blade Pro,1614.87,2048,SSD,16,Intel i9-386,3,Nuevo,Newegg,2018,Windows,,Desktop,5.0,13
195,Lenovo,Yoga,571.46,4096,SSD,32,AMD Ryzen 9 0xxx,0,Certificado,Amazon,2015,Windows,19.8,Laptop,4.0,1
196,Toshiba,Portege,1018.66,256,SSD,16,Intel i5-813,8,Nuevo,Amazon,2023,macOS,,Desktop,4.8,16
197,Microsoft,Surface Book,885.93,256,SSD,16,AMD Ryzen 7 7xxx,7,Nuevo,Walmart,2022,Windows,15.3,Laptop,3.7,50
198,Asus,ROG,721.31,4096,HDD,8,Intel i7-434,4,Usado,Target,2019,Windows,18.1,Laptop,3.8,8
199,Razer,Blade 17,1444.77,256,SSD,8,Intel i9-3,0,Nuevo,Newegg,2015,Windows,,Desktop,3.5,29
